seed,difficulty_gap,budget_frac,method,mean_irr,std_irr,b_rho,selected_w
0,4.0,0.7,fisher,0.2076252358336786,0.07183653361638528,0.8593711344233265,-3.0
0,4.0,0.7,adirt,0.21523377692088289,0.07526108832166838,0.8593711344233265,-3.0
0,5.0,0.1,uniform,0.1175715076232036,0.05790539644012214,0.8951780389671831,1.0
0,5.0,0.1,recency,0.11690045973392582,0.05295199286871273,0.8951780389671831,1.0
0,5.0,0.1,topk,0.028498500351257016,0.01495926892714433,0.8951780389671831,1.0
0,5.0,0.1,fisher,0.09353153477407518,0.042412352860212305,0.8951780389671831,1.0
0,5.0,0.1,adirt,0.09542403069973436,0.04764196174688682,0.8951780389671831,1.0
0,5.0,0.2,uniform,0.17983709593083605,0.08135436656796982,0.8951780389671831,1.0
0,5.0,0.2,recency,0.1887664968733554,0.07960912326277791,0.8951780389671831,1.0
0,5.0,0.2,topk,0.0492836890654681,0.02226164668085532,0.8951780389671831,1.0
0,5.0,0.2,fisher,0.17660900598861562,0.06726656453431072,0.8951780389671831,1.0
0,5.0,0.2,adirt,0.18186470493161833,0.08182239004875405,0.8951780389671831,1.0
0,5.0,0.3,uniform,0.1924295209283175,0.08100658600949301,0.8951780389671831,1.0
0,5.0,0.3,recency,0.1973492656546886,0.08143409679199869,0.8951780389671831,1.0
0,5.0,0.3,topk,0.07897760887958408,0.03619981051806643,0.8951780389671831,1.0
0,5.0,0.3,fisher,0.18623108496181698,0.07113476248864874,0.8951780389671831,1.0
0,5.0,0.3,adirt,0.19687462097336036,0.08327237083128591,0.8951780389671831,1.0
0,5.0,0.5,uniform,0.20804211009508392,0.08279181043417164,0.8951780389671831,1.0
0,5.0,0.5,recency,0.20923074636383582,0.08061902489783312,0.8951780389671831,1.0
0,5.0,0.5,topk,0.13164437152170932,0.051241886824238726,0.8951780389671831,1.0
0,5.0,0.5,fisher,0.20285332286695423,0.07701597973351869,0.8951780389671831,1.0
0,5.0,0.5,adirt,0.21292620487870653,0.08197159473532206,0.8951780389671831,1.0
0,5.0,0.7,uniform,0.21660135446832324,0.08429800474302039,0.8951780389671831,1.0
0,5.0,0.7,recency,0.21673324207288286,0.08125871931363406,0.8951780389671831,1.0
0,5.0,0.7,topk,0.17036669147162994,0.05836443563532352,0.8951780389671831,1.0
0,5.0,0.7,fisher,0.2101852190563319,0.0790198806274212,0.8951780389671831,1.0
0,5.0,0.7,adirt,0.21718278591685794,0.08070344798617972,0.8951780389671831,1.0
1,1.0,0.1,uniform,0.02967400467582812,0.012651296218097225,0.48638524906792124,-3.0
1,1.0,0.1,recency,0.01987970441600489,0.010525465302829263,0.48638524906792124,-3.0
1,1.0,0.1,topk,0.019664719617667227,0.011784970846975546,0.48638524906792124,-3.0
1,1.0,0.1,fisher,0.025145973137504073,0.013186682121874644,0.48638524906792124,-3.0
1,1.0,0.1,adirt,0.020685285466361423,0.01242421162788758,0.48638524906792124,-3.0
1,1.0,0.2,uniform,0.04800765663485768,0.020785351494692423,0.48638524906792124,-3.0
1,1.0,0.2,recency,0.04730886477127545,0.023997561304183547,0.48638524906792124,-3.0
1,1.0,0.2,topk,0.030358203297315384,0.016750450162923362,0.48638524906792124,-3.0
1,1.0,0.2,fisher,0.04830199491485359,0.024841860731442827,0.48638524906792124,-3.0
1,1.0,0.2,adirt,0.04798834560543784,0.03259435310055859,0.48638524906792124,-3.0
1,1.0,0.3,uniform,0.06033969002917341,0.020482115603589486,0.48638524906792124,-3.0
1,1.0,0.3,recency,0.05663470603186048,0.026373415531710964,0.48638524906792124,-3.0
1,1.0,0.3,topk,0.043539911006922595,0.020355461076931095,0.48638524906792124,-3.0
